task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
470	c9/9efa47	4610658.pbsha.ib.sockeye	benchmark (468)	FAILED	1	2023-02-07 21:29:15.381	49.9s	27.7s	96.8%	114.9 MB	565.3 MB	1.8 GB	3 GB
311	6f/9ece82	4610474.pbsha.ib.sockeye	benchmark (309)	COMPLETED	0	2023-02-07 21:21:25.399	8m 50s	8m 25s	100.2%	1.8 GB	5.2 GB	3.7 GB	3.1 GB
482	3b/5064bf	4610666.pbsha.ib.sockeye	benchmark (480)	FAILED	1	2023-02-07 21:29:35.518	39.7s	26.3s	102.7%	6.7 MB	222.8 MB	1.8 GB	3 GB
349	6b/580fe0	4610520.pbsha.ib.sockeye	benchmark (347)	COMPLETED	0	2023-02-07 21:23:36.257	6m 49s	6m 32s	107.3%	1.7 GB	5.1 GB	3.7 GB	3.1 GB
457	7c/f91e1e	4610636.pbsha.ib.sockeye	benchmark (455)	FAILED	1	2023-02-07 21:28:12.078	2m 13s	1m 44s	107.5%	918 MB	2.9 GB	2 GB	3 GB
477	ce/80f99b	4610664.pbsha.ib.sockeye	benchmark (475)	FAILED	1	2023-02-07 21:29:30.320	54.9s	32.8s	97.1%	6.6 MB	233.2 MB	1.7 GB	2.5 GB
456	9b/f98572	4610640.pbsha.ib.sockeye	benchmark (454)	FAILED	1	2023-02-07 21:28:25.337	2m 5s	1m 37s	96.8%	922.3 MB	2.9 GB	2 GB	3 GB
479	e5/f68bb6	4610671.pbsha.ib.sockeye	benchmark (477)	FAILED	1	2023-02-07 21:29:40.692	49.6s	27s	83.5%	6.7 MB	233.2 MB	1.7 GB	2.7 GB
290	15/e73c97	4610445.pbsha.ib.sockeye	benchmark (288)	COMPLETED	0	2023-02-07 21:20:08.252	10m 32s	10m 12s	115.5%	1.9 GB	6.2 GB	3.7 GB	3.1 GB
362	f7/9424b3	4610532.pbsha.ib.sockeye	benchmark (360)	FAILED	1	2023-02-07 21:24:01.475	6m 39s	6m 16s	106.0%	1.7 GB	5.7 GB	3.4 GB	3.1 GB
393	88/e875be	4610562.pbsha.ib.sockeye	benchmark (391)	FAILED	1	2023-02-07 21:25:15.389	5m 25s	4m 51s	101.4%	1.9 GB	6.2 GB	2.7 GB	3.1 GB
293	68/39b27e	4610482.pbsha.ib.sockeye	benchmark (291)	COMPLETED	0	2023-02-07 21:21:45.339	9m 5s	8m 39s	99.3%	2.1 GB	7.3 GB	3.7 GB	3.1 GB
498	34/a610de	4610681.pbsha.ib.sockeye	benchmark (496)	FAILED	1	2023-02-07 21:30:05.455	49.8s	24.6s	105.8%	6.6 MB	233.2 MB	1.8 GB	3 GB
287	fb/3561c5	4610446.pbsha.ib.sockeye	benchmark (285)	COMPLETED	0	2023-02-07 21:20:11.089	10m 49s	10m 31s	116.5%	2 GB	6.8 GB	3.7 GB	3.1 GB
367	4e/5d8ef2	4610541.pbsha.ib.sockeye	benchmark (365)	FAILED	1	2023-02-07 21:24:20.520	6m 40s	6m 19s	102.8%	1.7 GB	5.2 GB	3.4 GB	3.1 GB
395	51/13070e	4610564.pbsha.ib.sockeye	benchmark (393)	COMPLETED	0	2023-02-07 21:25:20.329	5m 40s	5m 19s	103.9%	1.6 GB	5.1 GB	3 GB	3.1 GB
487	11/dccd6b	4610674.pbsha.ib.sockeye	benchmark (485)	FAILED	1	2023-02-07 21:29:50.646	1m 10s	43.1s	102.8%	259.6 MB	916.2 MB	1.8 GB	3 GB
357	21/922ff0	4610526.pbsha.ib.sockeye	benchmark (355)	COMPLETED	0	2023-02-07 21:23:50.396	7m 15s	6m 51s	103.6%	1.8 GB	6.2 GB	3.7 GB	3.1 GB
373	a6/175bd0	4610543.pbsha.ib.sockeye	benchmark (371)	COMPLETED	0	2023-02-07 21:24:25.548	6m 40s	6m 17s	105.3%	2.1 GB	7.3 GB	3 GB	3.1 GB
489	e7/a54382	4610684.pbsha.ib.sockeye	benchmark (487)	FAILED	1	2023-02-07 21:30:15.378	49.9s	25.9s	107.1%	226.4 MB	748.9 MB	1.8 GB	3 GB
492	93/282e0e	4610685.pbsha.ib.sockeye	benchmark (490)	FAILED	1	2023-02-07 21:30:15.467	49.8s	29.3s	90.6%	194.9 MB	677.3 MB	1.8 GB	3.1 GB
300	88/a62a09	4610454.pbsha.ib.sockeye	benchmark (298)	COMPLETED	0	2023-02-07 21:20:30.377	10m 40s	9m 59s	113.1%	1.6 GB	5.1 GB	3.7 GB	3.1 GB
418	ff/fc6dd1	4610598.pbsha.ib.sockeye	benchmark (416)	FAILED	1	2023-02-07 21:26:26.557	4m 49s	4m 33s	103.7%	2 GB	6.7 GB	2.9 GB	3.1 GB
427	bc/8899aa	4610599.pbsha.ib.sockeye	benchmark (425)	FAILED	1	2023-02-07 21:26:30.295	4m 45s	4m 24s	109.4%	2 GB	6.7 GB	2.9 GB	3.1 GB
504	77/e9c8a4	4610691.pbsha.ib.sockeye	benchmark (502)	FAILED	1	2023-02-07 21:30:30.322	54.9s	39.9s	76.4%	6.6 MB	233.2 MB	1.8 GB	3.1 GB
321	5e/6a4ca3	4610485.pbsha.ib.sockeye	benchmark (319)	COMPLETED	0	2023-02-07 21:21:52.463	9m 38s	8m 42s	113.4%	1.7 GB	5.6 GB	3 GB	3.1 GB
315	d4/48d6e0	4610506.pbsha.ib.sockeye	benchmark (313)	COMPLETED	0	2023-02-07 21:23:05.308	8m 25s	7m 52s	100.7%	2 GB	6.8 GB	3.7 GB	3.1 GB
454	7e/8b7977	4610639.pbsha.ib.sockeye	benchmark (452)	FAILED	1	2023-02-07 21:28:20.336	3m 10s	2m 34s	100.2%	1 GB	3.5 GB	2 GB	3 GB
368	de/2a919c	4610538.pbsha.ib.sockeye	benchmark (366)	COMPLETED	0	2023-02-07 21:24:16.456	7m 19s	6m 45s	96.9%	1.7 GB	5.7 GB	3 GB	3.1 GB
443	6c/5694a9	4610615.pbsha.ib.sockeye	benchmark (441)	FAILED	1	2023-02-07 21:27:05.473	4m 30s	4m 9s	107.1%	2 GB	6.8 GB	2.7 GB	3.1 GB
501	aa/a764d4	4610694.pbsha.ib.sockeye	benchmark (499)	FAILED	1	2023-02-07 21:30:40.347	54.9s	31.6s	92.4%	242.2 MB	904.2 MB	1.8 GB	3.1 GB
452	38/c8ca2e	4610652.pbsha.ib.sockeye	benchmark (450)	FAILED	1	2023-02-07 21:29:00.315	2m 40s	2m 9s	97.6%	940 MB	2.9 GB	2 GB	3 GB
370	8b/7d151e	4610540.pbsha.ib.sockeye	benchmark (368)	COMPLETED	0	2023-02-07 21:24:20.403	7m 25s	7m 8s	102.9%	1.9 GB	5.1 GB	3.7 GB	3.1 GB
490	c7/5ff53a	4610673.pbsha.ib.sockeye	benchmark (488)	FAILED	1	2023-02-07 21:29:45.472	2m	1m 43s	105.9%	1.1 GB	3.5 GB	2 GB	3 GB
481	fd/0e78b1	4610680.pbsha.ib.sockeye	benchmark (479)	FAILED	1	2023-02-07 21:30:05.347	1m 40s	1m 9s	101.3%	6.6 MB	233.2 MB	1.8 GB	2.9 GB
500	7d/920604	4610683.pbsha.ib.sockeye	benchmark (498)	FAILED	1	2023-02-07 21:30:05.695	1m 45s	54.7s	101.0%	6.7 MB	233.2 MB	1.8 GB	3 GB
521	20/c7f5ec	4610707.pbsha.ib.sockeye	benchmark (519)	FAILED	1	2023-02-07 21:31:05.624	44.6s	26.3s	103.5%	239.1 MB	755 MB	1.8 GB	3 GB
475	78/37b007	4610661.pbsha.ib.sockeye	benchmark (473)	FAILED	1	2023-02-07 21:29:20.574	2m 35s	2m 4s	104.9%	956.2 MB	2.9 GB	2 GB	3 GB
478	61/6c372f	4610665.pbsha.ib.sockeye	benchmark (476)	FAILED	1	2023-02-07 21:29:30.417	2m 25s	2m 3s	102.7%	872.5 MB	2.9 GB	2 GB	3 GB
497	7b/dd7571	4610688.pbsha.ib.sockeye	benchmark (495)	FAILED	1	2023-02-07 21:30:25.398	1m 30s	56.5s	79.5%	195.3 MB	677.1 MB	1.8 GB	3 GB
342	ed/0c813b	4610508.pbsha.ib.sockeye	benchmark (340)	COMPLETED	0	2023-02-07 21:23:05.466	8m 55s	8m 28s	103.9%	1.9 GB	5.2 GB	3.7 GB	3.1 GB
422	13/7995ba	4610602.pbsha.ib.sockeye	benchmark (420)	FAILED	1	2023-02-07 21:26:40.998	5m 20s	4m 41s	106.7%	1.6 GB	5.2 GB	2.9 GB	3.1 GB
473	16/04fa4d	4610657.pbsha.ib.sockeye	benchmark (471)	FAILED	1	2023-02-07 21:29:11.247	2m 54s	2m 30s	109.8%	875.6 MB	2.6 GB	2 GB	3 GB
437	dd/e5c461	4610624.pbsha.ib.sockeye	benchmark (435)	FAILED	1	2023-02-07 21:27:35.319	4m 35s	4m 5s	104.1%	1.9 GB	6.3 GB	2.9 GB	3.1 GB
447	8f/b48641	4610628.pbsha.ib.sockeye	benchmark (445)	FAILED	1	2023-02-07 21:27:45.309	4m 26s	4m 9s	97.8%	1.6 GB	5.1 GB	2.7 GB	3.1 GB
502	ae/9037fe	4610698.pbsha.ib.sockeye	benchmark (500)	FAILED	1	2023-02-07 21:30:55.321	1m 20s	50.1s	94.3%	259.4 MB	916.2 MB	1.8 GB	3 GB
360	6c/821edb	4610529.pbsha.ib.sockeye	benchmark (358)	COMPLETED	0	2023-02-07 21:23:57.313	8m 23s	7m 38s	104.0%	2 GB	6.8 GB	3 GB	3.1 GB
512	c0/7976cf	4610701.pbsha.ib.sockeye	benchmark (510)	FAILED	1	2023-02-07 21:31:00.490	1m 20s	52.1s	70.2%	6.6 MB	233.2 MB	1.8 GB	3 GB
525	34/8017aa	4610715.pbsha.ib.sockeye	benchmark (523)	FAILED	1	2023-02-07 21:31:30.426	49.9s	34.8s	86.6%	220.7 MB	688.9 MB	1.8 GB	3 GB
384	2b/e479c3	4610558.pbsha.ib.sockeye	benchmark (382)	COMPLETED	0	2023-02-07 21:25:11.180	7m 19s	6m 54s	102.9%	1.6 GB	5.2 GB	3.7 GB	3.1 GB
453	94/05772a	4610635.pbsha.ib.sockeye	benchmark (451)	FAILED	1	2023-02-07 21:28:12.002	4m 19s	4m 1s	103.0%	1.7 GB	5.6 GB	2.7 GB	3.1 GB
434	84/998490	4610618.pbsha.ib.sockeye	benchmark (432)	COMPLETED	0	2023-02-07 21:27:13.618	5m 27s	5m 5s	107.2%	1.6 GB	5.1 GB	3 GB	3.1 GB
392	06/ff36ad	4610565.pbsha.ib.sockeye	benchmark (390)	COMPLETED	0	2023-02-07 21:25:20.415	7m 25s	7m 2s	105.0%	2.3 GB	7.8 GB	3.7 GB	3.1 GB
515	94/362adb	4610704.pbsha.ib.sockeye	benchmark (513)	FAILED	1	2023-02-07 21:31:05.349	1m 40s	1m 22s	108.5%	1 GB	3.5 GB	2 GB	3 GB
327	41/525df4	4610505.pbsha.ib.sockeye	benchmark (325)	COMPLETED	0	2023-02-07 21:22:55.389	9m 55s	9m 26s	97.8%	2 GB	6.8 GB	3.7 GB	3.1 GB
450	79/3df530	4610634.pbsha.ib.sockeye	benchmark (448)	FAILED	1	2023-02-07 21:28:00.525	4m 50s	4m 21s	105.4%	1.5 GB	5.2 GB	2.7 GB	3.1 GB
329	a9/4e54f0	4610494.pbsha.ib.sockeye	benchmark (327)	COMPLETED	0	2023-02-07 21:22:20.308	10m 35s	9m 55s	110.4%	1.8 GB	5.2 GB	3.7 GB	3.1 GB
365	72/ff5dfc	4610536.pbsha.ib.sockeye	benchmark (363)	COMPLETED	0	2023-02-07 21:24:11.040	8m 49s	8m 22s	104.2%	2 GB	6.8 GB	3.7 GB	3.1 GB
464	f7/615451	4610647.pbsha.ib.sockeye	benchmark (462)	FAILED	1	2023-02-07 21:28:40.345	4m 20s	3m 54s	108.7%	1.6 GB	5.6 GB	2.7 GB	3.1 GB
448	6e/7045c6	4610629.pbsha.ib.sockeye	benchmark (446)	COMPLETED	0	2023-02-07 21:27:45.427	5m 20s	5m 8s	106.7%	1.6 GB	5.1 GB	3 GB	3.1 GB
446	47/ddf896	4610630.pbsha.ib.sockeye	benchmark (444)	COMPLETED	0	2023-02-07 21:27:45.520	5m 20s	4m 59s	103.5%	1.6 GB	5.1 GB	3 GB	3.1 GB
507	c0/1b1645	4610692.pbsha.ib.sockeye	benchmark (505)	FAILED	1	2023-02-07 21:30:30.462	2m 35s	2m 20s	104.7%	973.2 MB	3.2 GB	2 GB	3 GB
528	f2/77a10e	4610726.pbsha.ib.sockeye	benchmark (526)	FAILED	1	2023-02-07 21:31:55.332	1m 10s	35.3s	101.4%	6.7 MB	233.2 MB	1.8 GB	3 GB
402	c9/c73e07	4610575.pbsha.ib.sockeye	benchmark (400)	COMPLETED	0	2023-02-07 21:25:41.206	7m 29s	6m 59s	109.5%	1.8 GB	5.1 GB	3.7 GB	3.1 GB
465	fa/79a2b4	4610678.pbsha.ib.sockeye	benchmark (463)	COMPLETED	0	2023-02-07 21:30:00.463	3m 11s	2m 34s	109.2%	1.1 GB	3.5 GB	2.2 GB	3 GB
364	df/76c9fd	4610535.pbsha.ib.sockeye	benchmark (362)	COMPLETED	0	2023-02-07 21:24:05.460	9m 15s	8m 38s	100.9%	1.7 GB	5.7 GB	3.7 GB	3.1 GB
400	dd/b61c2a	4610577.pbsha.ib.sockeye	benchmark (398)	COMPLETED	0	2023-02-07 21:25:51.048	7m 29s	6m 55s	102.8%	2 GB	6.7 GB	3.7 GB	3.1 GB
413	2e/e32426	4610585.pbsha.ib.sockeye	benchmark (411)	FAILED	1	2023-02-07 21:26:05.313	7m 20s	6m 34s	101.6%	2 GB	6.8 GB	2.9 GB	3.1 GB
467	6f/64c496	4610655.pbsha.ib.sockeye	benchmark (465)	COMPLETED	0	2023-02-07 21:29:05.412	4m 20s	3m 57s	99.5%	1.1 GB	3.5 GB	2.2 GB	3 GB
374	99/b4d240	4610547.pbsha.ib.sockeye	benchmark (372)	COMPLETED	0	2023-02-07 21:24:31.641	8m 59s	8m 36s	98.8%	1.9 GB	6.2 GB	3.7 GB	3.1 GB
379	5c/45b0fa	4610552.pbsha.ib.sockeye	benchmark (377)	COMPLETED	0	2023-02-07 21:25:05.437	8m 25s	7m 49s	102.4%	1.8 GB	6.3 GB	3.7 GB	3.1 GB
449	9b/8731c7	4610632.pbsha.ib.sockeye	benchmark (447)	FAILED	1	2023-02-07 21:28:00.311	5m 30s	4m 57s	97.6%	2 GB	6.7 GB	2.7 GB	3.1 GB
510	3a/7a8fe3	4610696.pbsha.ib.sockeye	benchmark (508)	FAILED	1	2023-02-07 21:30:40.546	2m 50s	2m 12s	104.0%	902 MB	2.6 GB	2 GB	3 GB
440	c5/6dd267	4610622.pbsha.ib.sockeye	benchmark (438)	COMPLETED	0	2023-02-07 21:27:25.324	6m 10s	5m 45s	114.0%	1.9 GB	6.3 GB	3 GB	3.1 GB
535	86/d96801	4610730.pbsha.ib.sockeye	benchmark (533)	FAILED	1	2023-02-07 21:32:00.358	1m 40s	55.6s	76.9%	203.4 MB	681.4 MB	1.8 GB	3.1 GB
484	00/d3d2e2	4610667.pbsha.ib.sockeye	benchmark (482)	FAILED	1	2023-02-07 21:29:35.627	4m 20s	4m 4s	107.5%	1.9 GB	6.2 GB	2.9 GB	3.1 GB
385	c2/c36e86	4610559.pbsha.ib.sockeye	benchmark (383)	COMPLETED	0	2023-02-07 21:25:11.292	8m 49s	8m 13s	98.0%	2 GB	6.8 GB	3.7 GB	3.1 GB
435	c9/769225	4610609.pbsha.ib.sockeye	benchmark (433)	COMPLETED	0	2023-02-07 21:27:00.466	7m	6m 42s	106.1%	1.6 GB	5.1 GB	3.7 GB	3.1 GB
436	7b/b5469c	4610611.pbsha.ib.sockeye	benchmark (434)	COMPLETED	0	2023-02-07 21:27:00.618	7m	6m 40s	110.9%	1.8 GB	6.2 GB	3.7 GB	3.1 GB
441	a3/5e5d03	4610621.pbsha.ib.sockeye	benchmark (439)	FAILED	1	2023-02-07 21:27:20.417	6m 50s	6m 17s	98.8%	2 GB	6.7 GB	2.9 GB	3.1 GB
534	00/b8bfb2	4610722.pbsha.ib.sockeye	benchmark (532)	FAILED	1	2023-02-07 21:31:45.407	2m 25s	1m 43s	101.8%	901.8 MB	2.9 GB	2 GB	3 GB
432	13/c2df7f	4610620.pbsha.ib.sockeye	benchmark (430)	COMPLETED	0	2023-02-07 21:27:20.328	6m 56s	6m 39s	107.0%	1.7 GB	5.7 GB	3.7 GB	3.1 GB
488	15/babd68	4610668.pbsha.ib.sockeye	benchmark (486)	FAILED	1	2023-02-07 21:29:35.746	4m 40s	4m 26s	103.0%	2 GB	6.7 GB	2.9 GB	3.1 GB
408	e0/de11cc	4610593.pbsha.ib.sockeye	benchmark (405)	COMPLETED	0	2023-02-07 21:26:20.297	8m	7m 40s	104.6%	1.9 GB	5.7 GB	3.7 GB	3.1 GB
445	20/cf2026	4610626.pbsha.ib.sockeye	benchmark (443)	COMPLETED	0	2023-02-07 21:27:40.445	6m 50s	6m 27s	102.8%	1.9 GB	5.2 GB	3.7 GB	3.1 GB
424	b2/ee5bba	4610614.pbsha.ib.sockeye	benchmark (422)	COMPLETED	0	2023-02-07 21:27:05.400	7m 30s	6m 54s	99.6%	2 GB	6.8 GB	3 GB	3.1 GB
468	99/9090fe	4610651.pbsha.ib.sockeye	benchmark (466)	COMPLETED	0	2023-02-07 21:28:55.318	5m 45s	5m 18s	97.0%	1.5 GB	5.2 GB	3 GB	3.1 GB
480	d5/cf32a6	4610660.pbsha.ib.sockeye	benchmark (478)	COMPLETED	0	2023-02-07 21:29:20.458	5m 25s	5m 4s	108.5%	2 GB	6.8 GB	3 GB	3.1 GB
505	76/3814c9	4610689.pbsha.ib.sockeye	benchmark (503)	FAILED	1	2023-02-07 21:30:25.469	4m 20s	3m 57s	102.1%	2 GB	6.8 GB	2.9 GB	3.1 GB
526	a4/2bd304	4610719.pbsha.ib.sockeye	benchmark (524)	FAILED	1	2023-02-07 21:31:35.635	3m 10s	2m 27s	100.4%	995.3 MB	3.2 GB	2 GB	3 GB
438	8b/2514e7	4610623.pbsha.ib.sockeye	benchmark (436)	COMPLETED	0	2023-02-07 21:27:30.308	7m 30s	6m 58s	97.4%	1.8 GB	6.2 GB	3 GB	3.1 GB
493	82/fa0914	4610670.pbsha.ib.sockeye	benchmark (491)	FAILED	1	2023-02-07 21:29:40.610	5m 25s	4m 48s	103.9%	2 GB	6.7 GB	2.9 GB	3.1 GB
494	42/42d38c	4610676.pbsha.ib.sockeye	benchmark (492)	FAILED	1	2023-02-07 21:29:55.408	5m 10s	4m 47s	104.6%	1.7 GB	5.6 GB	2.7 GB	3.1 GB
412	f3/cd2171	4610591.pbsha.ib.sockeye	benchmark (410)	COMPLETED	0	2023-02-07 21:26:15.491	8m 55s	8m 19s	112.9%	2.1 GB	7.4 GB	3 GB	3.1 GB
451	63/003678	4610633.pbsha.ib.sockeye	benchmark (449)	COMPLETED	0	2023-02-07 21:28:00.403	7m 10s	6m 40s	112.7%	1.7 GB	5.1 GB	3.7 GB	3.1 GB
485	67/87ed6b	4610675.pbsha.ib.sockeye	benchmark (483)	FAILED	1	2023-02-07 21:29:55.321	5m 25s	5m 5s	101.1%	2 GB	6.7 GB	2.9 GB	3.1 GB
429	27/f92e37	4610600.pbsha.ib.sockeye	benchmark (427)	FAILED	1	2023-02-07 21:26:30.403	8m 55s	8m 17s	110.7%	2.3 GB	7.8 GB	3.4 GB	3.1 GB
404	b0/db86ba	4610578.pbsha.ib.sockeye	benchmark (402)	COMPLETED	0	2023-02-07 21:25:51.145	9m 39s	9m 10s	108.2%	1.8 GB	6.2 GB	3.7 GB	3.1 GB
417	5a/b250e2	4610594.pbsha.ib.sockeye	benchmark (415)	COMPLETED	0	2023-02-07 21:26:20.400	9m 15s	8m 38s	105.6%	1.9 GB	6.2 GB	3.7 GB	3.1 GB
463	8b/30aac9	4610645.pbsha.ib.sockeye	benchmark (461)	COMPLETED	0	2023-02-07 21:28:37.936	7m 2s	6m 37s	107.0%	2 GB	6.8 GB	3.7 GB	3.1 GB
420	67/4e1af4	4610595.pbsha.ib.sockeye	benchmark (418)	COMPLETED	0	2023-02-07 21:26:26.292	9m 19s	8m 51s	97.0%	2 GB	6.8 GB	3.7 GB	3.1 GB
486	fa/ebd4df	4610679.pbsha.ib.sockeye	benchmark (484)	FAILED	1	2023-02-07 21:30:00.556	5m 45s	5m 11s	96.7%	2 GB	6.8 GB	2.9 GB	3.1 GB
509	ba/eeef43	4610697.pbsha.ib.sockeye	benchmark (507)	FAILED	1	2023-02-07 21:30:50.332	4m 55s	4m 34s	101.4%	1.9 GB	6.3 GB	2.9 GB	3.1 GB
474	53/641f14	4610653.pbsha.ib.sockeye	benchmark (472)	COMPLETED	0	2023-02-07 21:29:00.399	6m 50s	6m 17s	103.8%	1.8 GB	6.2 GB	3 GB	3.1 GB
391	9e/13644f	4610568.pbsha.ib.sockeye	benchmark (389)	FAILED	143	2023-02-07 21:25:25.421	10m 30s	10m 19s	104.9%	2 GB	6.8 GB	3.7 GB	3.1 GB
430	d2/b1973b	4610604.pbsha.ib.sockeye	benchmark (428)	COMPLETED	0	2023-02-07 21:26:45.453	9m 10s	8m 36s	97.0%	2 GB	6.8 GB	3.7 GB	3.1 GB
462	33/fb1935	4610650.pbsha.ib.sockeye	benchmark (460)	COMPLETED	0	2023-02-07 21:28:50.305	7m 10s	6m 57s	105.9%	2 GB	6.7 GB	3.7 GB	3.1 GB
517	4a/ca6b73	4610717.pbsha.ib.sockeye	benchmark (515)	FAILED	1	2023-02-07 21:31:35.361	4m 31s	4m 9s	99.9%	1.9 GB	6.3 GB	2.9 GB	3.1 GB
503	0d/390459	4610695.pbsha.ib.sockeye	benchmark (501)	COMPLETED	0	2023-02-07 21:30:40.465	5m 30s	5m 6s	105.6%	1.5 GB	5.1 GB	3 GB	3.1 GB
472	02/c3e8ac	4610662.pbsha.ib.sockeye	benchmark (470)	COMPLETED	0	2023-02-07 21:29:20.661	7m	6m 38s	112.8%	1.6 GB	5.1 GB	3.7 GB	3.1 GB
520	a0/25c814	4610702.pbsha.ib.sockeye	benchmark (518)	COMPLETED	0	2023-02-07 21:31:00.637	5m 20s	5m 1s	105.3%	1.9 GB	6.2 GB	3 GB	3.1 GB
476	24/9c9724	4610656.pbsha.ib.sockeye	benchmark (474)	COMPLETED	0	2023-02-07 21:29:11.150	7m 24s	7m 1s	112.3%	2.1 GB	7.3 GB	3 GB	3.1 GB
524	83/6c6cdf	4610712.pbsha.ib.sockeye	benchmark (522)	FAILED	1	2023-02-07 21:31:25.330	5m 15s	4m 40s	102.3%	2 GB	6.7 GB	2.7 GB	3.1 GB
514	99/096ffd	4610699.pbsha.ib.sockeye	benchmark (512)	COMPLETED	0	2023-02-07 21:31:00.328	5m 45s	5m 19s	101.6%	1.5 GB	5.2 GB	3 GB	3.1 GB
483	9b/dd4cf6	4610669.pbsha.ib.sockeye	benchmark (481)	COMPLETED	0	2023-02-07 21:29:36.026	7m 14s	6m 51s	106.8%	2 GB	6.8 GB	3.7 GB	3.1 GB
414	dd/a773e4	4610589.pbsha.ib.sockeye	benchmark (412)	COMPLETED	0	2023-02-07 21:26:15.302	10m 55s	10m 18s	117.7%	1.8 GB	6.3 GB	3.7 GB	3.1 GB
459	e0/1f158d	4610637.pbsha.ib.sockeye	benchmark (457)	COMPLETED	0	2023-02-07 21:28:13.456	8m 57s	8m 19s	97.0%	1.9 GB	6.3 GB	3.7 GB	3.1 GB
518	86/870b39	4610706.pbsha.ib.sockeye	benchmark (516)	FAILED	1	2023-02-07 21:31:05.549	6m 11s	5m 54s	102.6%	2 GB	6.8 GB	3.4 GB	3.1 GB
415	a6/ce4667	4610590.pbsha.ib.sockeye	benchmark (413)	COMPLETED	0	2023-02-07 21:26:15.384	11m 15s	10m 38s	106.2%	2.1 GB	7.3 GB	3.7 GB	3.1 GB
508	fe/819782	4610700.pbsha.ib.sockeye	benchmark (506)	FAILED	1	2023-02-07 21:31:00.408	6m 35s	6m 13s	105.6%	1.9 GB	5.6 GB	3.4 GB	3.1 GB
460	3c/33dff0	4610642.pbsha.ib.sockeye	benchmark (458)	COMPLETED	0	2023-02-07 21:28:30.312	9m 20s	8m 48s	103.8%	1.8 GB	5.2 GB	3.7 GB	3.1 GB
471	cd/7b7529	4610654.pbsha.ib.sockeye	benchmark (469)	COMPLETED	0	2023-02-07 21:29:05.340	8m 55s	8m 31s	103.1%	1.9 GB	6.3 GB	3.7 GB	3.1 GB
499	40/1672cf	4610682.pbsha.ib.sockeye	benchmark (497)	COMPLETED	0	2023-02-07 21:30:05.548	8m 5s	7m 22s	96.7%	1.8 GB	6.8 GB	3 GB	3.1 GB
527	d5/ad6b89	4610718.pbsha.ib.sockeye	benchmark (525)	COMPLETED	0	2023-02-07 21:31:35.493	6m 45s	6m 23s	107.6%	1.9 GB	6.3 GB	3.7 GB	3.1 GB
522	66/dcdad3	4610709.pbsha.ib.sockeye	benchmark (520)	COMPLETED	0	2023-02-07 21:31:15.329	7m 10s	6m 50s	104.0%	1.9 GB	5.1 GB	3.7 GB	3.1 GB
513	6c/9dfff8	4610716.pbsha.ib.sockeye	benchmark (511)	FAILED	1	2023-02-07 21:31:30.531	7m	6m 47s	100.0%	1.8 GB	5.2 GB	3.4 GB	3.1 GB
469	9f/70c699	4610659.pbsha.ib.sockeye	benchmark (467)	COMPLETED	0	2023-02-07 21:29:20.367	9m 15s	8m 51s	102.7%	1.8 GB	5.2 GB	3.7 GB	3.1 GB
529	d4/55d400	4610720.pbsha.ib.sockeye	benchmark (527)	COMPLETED	0	2023-02-07 21:31:40.336	7m	6m 42s	100.2%	1.9 GB	5.7 GB	3.7 GB	3.1 GB
511	f7/90df94	4610708.pbsha.ib.sockeye	benchmark (509)	COMPLETED	0	2023-02-07 21:31:10.404	7m 45s	7m 17s	107.2%	1.5 GB	5.1 GB	3.7 GB	3.1 GB
533	3a/5eee7c	4610721.pbsha.ib.sockeye	benchmark (531)	COMPLETED	0	2023-02-07 21:31:45.328	7m 10s	6m 48s	98.5%	1.8 GB	5.2 GB	3.7 GB	3.1 GB
491	19/dffa34	4610677.pbsha.ib.sockeye	benchmark (489)	COMPLETED	0	2023-02-07 21:30:00.368	9m	8m 17s	101.8%	2 GB	6.8 GB	3.7 GB	3.1 GB
495	54/ead39d	4610687.pbsha.ib.sockeye	benchmark (493)	COMPLETED	0	2023-02-07 21:30:25.311	8m 35s	8m 2s	97.2%	2 GB	6.8 GB	3.7 GB	3.1 GB
496	14/26f8d3	4610672.pbsha.ib.sockeye	benchmark (494)	COMPLETED	0	2023-02-07 21:29:40.812	9m 29s	8m 51s	103.7%	1.9 GB	6.3 GB	3.7 GB	3.1 GB
537	28/6d9805	4610725.pbsha.ib.sockeye	benchmark (535)	COMPLETED	0	2023-02-07 21:31:50.412	7m 30s	6m 56s	98.0%	1.9 GB	6.3 GB	3.7 GB	3.1 GB
530	7d/0b6e38	4610724.pbsha.ib.sockeye	benchmark (528)	COMPLETED	0	2023-02-07 21:31:50.325	7m 40s	7m 3s	102.7%	1.9 GB	5.7 GB	3.7 GB	3.1 GB
516	98/96bc42	4610710.pbsha.ib.sockeye	benchmark (514)	COMPLETED	0	2023-02-07 21:31:15.408	8m 20s	7m 50s	105.1%	2 GB	5.2 GB	3.7 GB	3.1 GB
532	3d/ddb3c8	4610728.pbsha.ib.sockeye	benchmark (530)	COMPLETED	0	2023-02-07 21:31:55.532	7m 55s	7m 17s	99.1%	1.9 GB	5.1 GB	3.7 GB	3.1 GB
506	ee/5d361f	4610731.pbsha.ib.sockeye	benchmark (504)	FAILED	1	2023-02-07 21:32:02.437	7m 53s	7m 14s	100.1%	1.9 GB	6.2 GB	3.4 GB	3.1 GB
