task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
267	40/a19157	4610417.pbsha.ib.sockeye	benchmark (265)	FAILED	1	2023-02-07 21:19:00.362	49.8s	27.4s	101.1%	6.7 MB	233.2 MB	1.8 GB	3 GB
88	90/88f896	4610209.pbsha.ib.sockeye	benchmark (86)	COMPLETED	0	2023-02-07 21:11:21.039	8m 39s	8m 11s	113.2%	2 GB	6.8 GB	3.7 GB	3.1 GB
141	b4/f1acb5	4610271.pbsha.ib.sockeye	benchmark (139)	COMPLETED	0	2023-02-07 21:13:20.274	6m 40s	6m 18s	104.2%	2 GB	6.8 GB	3.7 GB	3.1 GB
151	e8/5509ef	4610284.pbsha.ib.sockeye	benchmark (149)	FAILED	1	2023-02-07 21:13:45.424	6m 16s	5m 51s	104.0%	1.7 GB	5.6 GB	2.9 GB	3.1 GB
178	5f/c0ecea	4610318.pbsha.ib.sockeye	benchmark (176)	FAILED	1	2023-02-07 21:15:35.421	4m 26s	4m	108.4%	2 GB	6.7 GB	2.9 GB	3.1 GB
266	59/029e26	4610419.pbsha.ib.sockeye	benchmark (264)	FAILED	1	2023-02-07 21:19:11.094	49.9s	24s	104.1%	6.6 MB	233.2 MB	1.7 GB	2.7 GB
269	1a/2c46c2	4610421.pbsha.ib.sockeye	benchmark (267)	FAILED	1	2023-02-07 21:19:15.661	49.5s	31.4s	105.7%	231.3 MB	744.9 MB	1.8 GB	3 GB
260	da/901ff5	4610422.pbsha.ib.sockeye	benchmark (258)	FAILED	1	2023-02-07 21:19:15.751	49.5s	31.4s	102.8%	211.3 MB	681.4 MB	1.8 GB	3 GB
27	23/a9c32c	4610146.pbsha.ib.sockeye	benchmark (25)	FAILED	1	2023-02-07 21:11:15.031	8m 56s	8m 29s	99.6%	1.8 GB	6.8 GB	2.8 GB	3.1 GB
239	ef/3e35ae	4610391.pbsha.ib.sockeye	benchmark (237)	FAILED	1	2023-02-07 21:18:20.411	1m 51s	1m 26s	105.9%	983 MB	2.9 GB	2 GB	3 GB
155	f2/10255b	4610292.pbsha.ib.sockeye	benchmark (153)	FAILED	1	2023-02-07 21:14:05.404	6m 10s	5m 38s	96.6%	1.7 GB	5.6 GB	2.7 GB	3.1 GB
170	c8/0ad0a7	4610305.pbsha.ib.sockeye	benchmark (168)	FAILED	1	2023-02-07 21:15:05.258	5m 15s	5m 2s	101.0%	1.6 GB	5.2 GB	2.9 GB	3.1 GB
45	80/b16e5c	4610159.pbsha.ib.sockeye	benchmark (41)	COMPLETED	0	2023-02-07 21:11:16.219	9m 9s	8m 45s	111.0%	2 GB	6.8 GB	3.7 GB	3.1 GB
272	d2/dfccb6	4610427.pbsha.ib.sockeye	benchmark (270)	FAILED	1	2023-02-07 21:19:42.419	42.8s	27.6s	103.5%	6.7 MB	233.2 MB	1.8 GB	3 GB
143	7c/a2f67b	4610263.pbsha.ib.sockeye	benchmark (141)	COMPLETED	0	2023-02-07 21:13:11.072	7m 19s	6m 59s	103.7%	1.8 GB	5.1 GB	3.7 GB	3.1 GB
138	3a/4a1a57	4610267.pbsha.ib.sockeye	benchmark (136)	COMPLETED	0	2023-02-07 21:13:15.661	7m 15s	6m 50s	105.0%	1.8 GB	5.2 GB	3.7 GB	3.1 GB
222	8e/efb10d	4610374.pbsha.ib.sockeye	benchmark (220)	FAILED	1	2023-02-07 21:17:45.550	2m 50s	2m 10s	92.6%	884.8 MB	2.9 GB	2.1 GB	3 GB
158	83/d5f4ac	4610295.pbsha.ib.sockeye	benchmark (156)	FAILED	1	2023-02-07 21:14:11.267	6m 29s	5m 55s	100.7%	1.6 GB	5.2 GB	2.9 GB	3.1 GB
228	69/0ce6ae	4610376.pbsha.ib.sockeye	benchmark (226)	FAILED	1	2023-02-07 21:17:55.260	2m 45s	2m 7s	107.3%	1 GB	2.9 GB	2 GB	3 GB
268	ae/23e693	4610415.pbsha.ib.sockeye	benchmark (266)	FAILED	1	2023-02-07 21:18:55.870	1m 44s	1m 20s	106.1%	953.6 MB	2.6 GB	2 GB	3 GB
139	31/b002bb	4610262.pbsha.ib.sockeye	benchmark (137)	COMPLETED	0	2023-02-07 21:13:10.970	7m 34s	7m 11s	102.6%	1.7 GB	5.1 GB	3.7 GB	3.1 GB
157	4d/adcd06	4610279.pbsha.ib.sockeye	benchmark (155)	COMPLETED	0	2023-02-07 21:13:35.258	7m 10s	6m 52s	102.1%	1.8 GB	6.3 GB	3.7 GB	3.1 GB
273	f4/e3aac0	4610429.pbsha.ib.sockeye	benchmark (271)	FAILED	1	2023-02-07 21:19:46.377	58.8s	25.9s	103.9%	278.9 MB	974.5 MB	1.8 GB	3 GB
255	e1/41839b	4610407.pbsha.ib.sockeye	benchmark (253)	FAILED	1	2023-02-07 21:18:45.702	2m 4s	1m 44s	102.7%	945.6 MB	3 GB	2 GB	3 GB
198	a5/614c9f	4610343.pbsha.ib.sockeye	benchmark (196)	FAILED	1	2023-02-07 21:16:35.474	4m 20s	4m 1s	99.4%	1.6 GB	5.1 GB	2.9 GB	3.1 GB
263	33/b52d15	4610431.pbsha.ib.sockeye	benchmark (261)	FAILED	1	2023-02-07 21:19:46.559	1m 14s	47.6s	105.8%	6.6 MB	233.2 MB	1.8 GB	3 GB
119	51/01f06c	4610241.pbsha.ib.sockeye	benchmark (117)	COMPLETED	0	2023-02-07 21:12:20.271	8m 45s	8m 21s	97.8%	1.9 GB	6.3 GB	3.7 GB	3.1 GB
153	85/5a3a22	4610277.pbsha.ib.sockeye	benchmark (151)	COMPLETED	0	2023-02-07 21:13:30.240	7m 41s	7m 15s	105.3%	1.9 GB	5.1 GB	3.7 GB	3.1 GB
